,LEMMA,FIRST,SECOND,SUFFIX,SIMPLE,POS,HEAD,POS_HEAD,HEAD_NORMALIZED,HEAD_SUFFIX,SYSTEM_SUFFIX
0,εὔθυμος,noun root θυμ   θυμός   soul  spirit ,,"adj. suf. -ος, -ον",ος,A,θυμός,N,θυμός,μος,μος
1,ἀρηΐθοος,verbal root ἀγ   ἄγνυμι   break ,θοός     ή     όν    quick  nimble ,,,,θοός,N,θοός,ος,ος
2,Ὑπερίων,verbal root ἀπτ   ἅπτω ἅπτομαι   fasten  bind to  touch ,ἰών  part  of εἶμι     come or go  ,,,,εἶμι,N,εἶμι,,ιων
3,ἀστεροπή,verb noun root ὄπ   ὄψομαι  see   ὄψις  aspect  ,,f. noun suf. -η,η,A,ὄψομαι,V,ὄψομαι,V,η
4,λεχεποίης,noun stem λεχε   λέχος   bed ,noun stem ποι   ποί η  ion  form of πόα    grass ,noun suf. - ης,ης,A,ποι,N,ὅποι,οι,ης
5,φυγοπτόλεμος,verbal root φυγ   φεύγω   flee ,noun root πτόλεμ   πτόλεμος   war ,"adj. suf. -ος, -ον",ος,A,πτόλεμος,N,πτόλεμος,μος,μος
6,πολύμυθος,noun root μῦθ   μῦθος   word ,,adj. suf. -ος -ον,ος,A,μῦθος,N,μῦθος,ος,ος
7,Προθόων,verbal root θέ   θέω   run ,,noun suf. -ων,ων,A,θέω,V,ὠθέω,V,ων
8,κερτόμιος,noun root κ ε ρ   κῆρ  perh  contr  from κέαρ   heart ,verbal root τομ   τέμνω   cut ,"adj. suf. -ιος, -ιον",ιος,A,τέμνω,V,τέμνω,V,ιος
9,εὐχροής,noun root χρο   χρόα   colour ,,"adj. suf. -ής, -ές",ης,A,χρόα,N,χρόα,α,ης
10,ἐυπλοκαμίς,noun stem πλοκαμι   πλοκαμίς   tress ,verbal root μέδ  μέδομαι   to be minded  orμέν   μένω   stand fast ,"adj. suf. -ις, -ιδος",ις,A,μέδομαι,V,μέδομαι,V,ις
11,ἐπήβολος,verbal root βολ   βάλλω   throw ,,"adj. suf. -ος, -ον",ος,A,βάλλω,V,βάλλω,V,λος
12,ἄνοσος,noun root νοσ   νόσος   sickness ,,"adj. suf. -ος, -ον",ος,A,νόσος,N,νόσος,ος,ος
13,πολύμηλος,noun root μῆλ   μῆλον   sheep ,,adj. suf. -ος -ον,ος,A,μῆλον,N,μῆλον¹,ον,ηλος
14,πρόκροσσοι,noun root κροσσ   κροσσός   row ,,"pl. adj. suf. -οι, -A, -A",οι,A,κροσσός,N,κροσσός,ος,οι
15,ἑξήκοντα,num  root κοντα  &lt  *dkomt  cfr  δέκα   ten  a ten ,,,,,κοντα,N,κονία,τα,τα
16,ἀπότροπος,verbal root τροπ   τρέπω   turn ,noun root  φρο   φρήν φρενός   midriff heart mind ,"adj. suf. -ος, -ον",ος,A,φρενός,N,φρενόω,νος,ος
17,ἰθαγενής,noun root γ ε ν   γένος   race ,noun root*ήνορ   ἀνήρ  ἀνδρός   man ,"adj. suf. -ής, -ές",ης,A,ἀνδρός,N,ἀνδρός,ρος,ης
18,πολύκληρος,noun root κληρ   κλῆρος   lot ,verbal root ρρο    ῥέω ῥόος   flow  ,adj. suf. -ος -ον,ος,A,ῥόος,V,ῥόος,V,ρος
19,ἀνδράγρια,noun root ἀνδρ   ἀνήρ  ἀνδρός   man ,noun root ἄγρ   ἄγρα   hunting  the chase ,"adj. suf. -ιος, -ον",ιος,A,ἄγρα,N,ἄγρα,ρα,ια
20,ἐναλίγκιος,adv  adj  rootἀγα   ἄγαν   very much ,verbal rootστροφ   στρέφω   turn about or aside ,ος,ος,A,στρέφω,V,στρέφω,V,ιος
21,πολυανθής,adj  stem πολύ   πολύς  πολλή  πολύ   much  many ,noun root A   ἄνθος   blossom  flower ,"adj. suf. -ής, -ές",ης,A,ἄνθος,N,ἄνθος,ος,ης
22,ἀλλήλων,verbal root ἀγ   ἄγω   lead  carry  bring ,noun root λει   λεία   A   booty ,"noun suf. (Ion.) -η, -ης",η,A,λεία,N,λεία,εια,ων
23,ἀγέραστος,, γέρας   ος  gift of honour ,"adj. suf.-τος, -τον",τος,A,γέρας,N,γέρας,ας,στος
24,ἀγέρωχος,noun root γερ   γέρας   gift of honour  privilege ,verbal root ὀχ   ἔχ ω   have  hold ,"adj. suf. -ος, -ον",ος,A,ὀχ,V,ὀχή,V,ος
25,ἀγηνορία,,,,,,,N,,,ια
26,Ἀγήνωρ,verbal root ἀγ   ἄγω   lead  carry ,noun root ἠνορ   ἀνήρ  ἀνδρός   man ,noun suf.-ωρ,ωρ,A,ἀνδρός,N,ἀνδρός,ρος,ωρ
27,ἀγήνωρ,verbal root ἀγ   ἄγω   lead ,noun root *ηνορ   ἀνήρ  ἀνδρός   man ,noun/adj. suf.-ωρ,ωρ,A,ἀνδρός,N,ἀνδρός,ρος,ωρ
28,ἀγήρως,noun stem γηρα   γῆρας   old age ,,"adj. suf. -ος, -ον (-A-ος &gt; -ως)",ος,A,γῆρας,N,γῆρας,ας,ως
29,ἀγκυλομήτης,adj  stem ἀγκυλο   ἀγκύλος   η   ον   crooked ,noun root μήτ   μῆτις   counsel ,"noun suf. -ης, -ου",ης,A,μῆτις,N,μῆτις,τις,ητης
30,ἀγκυλότοξος,adj  stemἀγκύλο   ἀγκύλος   η   ον   crooked  curved ,noun root τοξ   τόξον   bow ,"adj. suf.-ος, -ον",ος,A,τόξον,N,τόξον,ον,ος
31,ἀγκυλοχείλης,adj  stem ἀγκυλο   ἀγκύλος   η   ον   crooked  curved ,noun root χείλ   χεῖλος   εος   lip  beak ,"suf. -ης, -ου",ης,A,χεῖλος,N,χεῖλος,λος,ης
32,ἀγλαόκαρπος,adj  stemἀγλαο   ἀγλαός  ή  όν  also ός  όν   splendid  shining  bright , καρπός ου  ὁ fruit ,"adj. suf.-ος, -ον",ος,A,καρπός,N,καρπός,ος,ος
33,ἀγνώς,verbal root γνω  know ,,"adj. suf. -ώς, -ῶτος",ως,A,γνω,V,γνώω,V,ως
34,ἄγνωστος,,γνωστός    ή    όν   γνωτός   ή   όν   known  perceived ,,,,γνωστός,N,γνωστός,στος,στος
35,ἄγραυλος,noun root ἀγρ  ἀγρός  field ,noun root A   A   open court  courtyard generally  court  hall any dwelling  abode ,"adj. suf. -ος, -ον",ος,A,,N,,,λος
36,ἀγριόφωνος,adj  stem ἀγριο   ἄγριος   A   ον   living in the fields  wild  savage ,noun root φων   φωνή  sound  tone  prop   the sound of the voice ,"adj. suf. -ος, -ον",ος,A,φωνή,N,φωνή,η,νος
37,ἀγχέμαχος,verbal root μαχ   μάχομαι   fight ,,"adj. suf. -ος, -ον",ος,A,μάχομαι,V,μάχομαι,V,ος
38,Ἀγχίαλος,noun root ἁλ   ἅλς  ἁλός   sea ,,"noun suf. -ος, -ου",ος,A,ἁλός,N,ἁλός,λος,λος
39,ἀγχιβαθής,noun stemβαθ ες  βάθος   εος   depthorheight ,,"adj. suf. -ής, -ές",ης,A,βάθος,N,βάθος,ος,ης
40,ἀγχίθεος,, θε ός  god ,"adj. suf.-ος, -ον",ος,A,θε,N,θε,ε,εος
41,ἀγχιμαχητής,verbal root μαχ   μάχομαι   fight ,,suf. -ητής,ητης,A,μάχομαι,V,μάχομαι,V,ητης
42,ἀγχίμολος,verbal root μολ   βλώσκω   come ,,"adj. suf.-ος, -ον",ος,A,βλώσκω,V,βλώσκω,V,λος
43,ἀγχίνοος,noun root νο   νόος  ου   mind ,,"adj. suf. -ος, -ον",ος,A,νόος,N,νόος,ος,ος
44,ἀγχιστῖνος,verbal root στ   &gt,,,,,στ,V,στῇ,V,νος
45,ἀδάκρυτος,noun root δακρυ   δάκρυ   ος   tear ,,"adj. suf.-τος, -τον",τος,A,δακρυ,N,ἄδακρυς,,τος
46,Ἀδάμας,verbal root δαμ   δάμνημι   subdue  conquer ,,ας,ας,A,δάμνημι,V,δάμνημι,V,ας
47,ἀδάμαστος,verbal root δαμα   δαμάω  δαμάζω   subdue  conquer ,,"adj. suf. -στος, -ον",στος,A,δαμάζω,V,δαμάζω,V,στος
48,ἀδαήμων,,δαήμων   ον  knowing  experienced in ,,,,δαήμων,N,δαήμων,μων,μων
49,ἀδεής,noun stemδε ες   δέος  ους   fear ,,"adj. suf. -ής,-ές",ης,A,δέος,N,δέος,εος,ης
50,ἀδελφεός,noun rootδελφ   δελφύς   womb ,,noun suf. -εός,εος,A,δελφύς,N,δελφύς,υς,εος
51,ἀδευκής,noun stem δεῦκ ες  δεῦκος  εος   sweet new wine sweetness ,,"adj. suf. -ής, -ές",ης,A,δεῦκος,N,λεῦκος,ος,ης
52,ἀδήριτος,nounroot δηρι   δῆρις   battle  contest ,,"adj. suf. -τος, -τον",τος,A,δῆρις,N,δῆρις,ις,ιτος
53,Ἄδμητος,,,,,,,N,,,τος
54,ἄδμητος,verbal stemδμη   δαμάω  δαμάζω  δάμνημι   tame  conquer ,,"adj. suf. -τος, -η, -ον",τος,A,δάμνημι,V,δάμνημι,V,τος
55,ἀεθλοφόρος,noun stem ἀεθλο   ἄεθλον   prize ,verbal root φορ   φέρω ,"adj. suf. -ος, -ον",ος,A,φέρω,V,φέρω,V,ρος
56,ἀεικέλιος,verbal stem εικε   ἔοικα   to be like  look like  seem ,,"adj. suf. -λιος, -λιον",λιος,A,ἔοικα,V,ἔοικα,V,λιος
57,ἀεικής,verbal rootεικ   ἔοικα   to be like  look like  seem ,,"adj. suf. -ής, -ές",ης,A,ἔοικα,V,ἔοικα,V,ης
58,ἀέκων,,ἑκών  ἑκοῦσα  ἑκόν readily ,,,,ἑκοῦσα,N,κροῦσμα,σα,ων
59,ἀελλόπος,noun rootἄελλ   ἄελλα  Ep  ἀέλλη   stormy wind  whirlwind ,πο ύ ς ποδός  foot ,,,,ποδός,N,σποδός,ος,ος
60,ἀελπής,verbal root ἐλπ   ἔλπομαι   expect  imagine ,,"adj. suf. -ής, -ές",ης,A,ἔλπομαι,V,ἔσπομαι,V,ης
61,ἀενάων,verbal root να   νάω   flow ,,"adj. suf. -ων, -ουσα, -ον",ων,A,νάω,V,νάω,V,ων
62,ἀεργίη,noun root εργ   έργον   work ,,noun suf. -ίη,ιη,A,έργον,N,ἔργον,ον,ιη
63,ἀερσίπους,verb root ἀερσι   ἀείρω   lift ,πούς  ποδός  foot ,,,,ποδός,N,σποδός,ος,υς
64,ἀεσιφροσύνη,,,,,,,N,,,συνη
65,ἀεσίφρων,verb stemἀεσι   ἀάω   to hurt  damage ,noun root φρ   φρήν   heart  mind ,"adj. suf. -ων, -ον",ων,A,φρήν,N,φρήν,,ων
66,ἀθάνατος,noun stemθάνατ   θάνατος   death ,,"adj. suf. -ος, -ον",ος,A,θάνατος,N,θάνατος,τος,τος
67,ἄθαπτος,verbal root θαπ   &lt *θαφ   θάπτω   bury ,,"adj. suf. -τος, -τον",τος,A,θάπτω,V,θάπτω,V,τος
68,ἀθεμίστιος,noun stemθεμιστ   θέμις  θεμιστος   hat which is laid downorestablished ,,"adj. suf.-ιος, -ιον",ιος,A,θεμιστος,N,θεμιστεῖος,στος,ιος
69,ἀθέμιστος,noun stemθεμιστ   θέμις  θεμιστος   hat which is laid down or established ,,"adj. suf. -ος, -ον",ος,A,θεμιστος,N,θεμιστεῖος,στος,στος
70,ἀθέσφατος,,θέσφατος   ον,,,,θέσφατος,N,θέσφατος,τος,τος
71,ἀθηρηλοιγός,,λοιγός   ου  ruin  havoc ,,,,λοιγός,N,λοιγός,ος,ος
72,ἀθρόος,verbal root *dher   ἀθρέω   gaze at  or verbal noun root θρε  θρέομαι  θρόος   cry aloud noise as of many voices ,,"adj. suf. -ος, -ον",ος,A,θρέομαι,V,θρέομαι,V,ος
73,ἄθυμος,noun rootθυμ  θυμός  soul  spirit ,,"adj. suf. -ος, -ον",ος,A,θυμός,N,θυμός,μος,μος
74,Αἰγιάλεια,,,,,,,N,,,εια
75,αἰγιαλός,,,,,,,N,,,λος
76,αἰγίβοτος,,,,,,,N,,,τος
77,αἰγίλιψ,,,,,,,N,,,
78,αἰγίοχος,noun rootαἰγι  A ίδος  goatskin aegis ,verbal rootοχ   ἔχω   have ,"adj. suf.-ος, -ον",ος,A,ἔχω,V,ἔχω,V,ος
79,ἀΐδηλος,verbal root ἰδ   aor  εἶδον   see  perceive  behold ,,"adj. suf. -ηλος,-ον",ηλος,A,εἶδον,V,εἶδον,V,ηλος
80,Ἀΐδης,verbal root ἰδ   aor  ἔιδον   see perceive  behold ,,nounsuf. -ης,ης,A,ἔιδον,V,ἔδον,V,ιδης
81,ἀϊδρείη,,,,,,,N,,,ιη
82,ἄϊδρις,,ἴδρις experienced  knowing  skilful ,,,,ἴδρις,N,ἴδρις,ις,ις
83,αἰειγενέτης,verbal stemγενε   γενέσθαι  γίγνομαι   come into being ,,"noun suf. -της, -του",της,A,γενέσθαι,V,γενέσθαι,V,ετης
84,αἰζηός,,,,,,,N,,,ος
85,Αἰθίοψ,,,,,,,N,,,
86,αἶθοψ,adj  root A   A   ή   όν   shining ,ὄψ ὀπός ὄψομαι   ὄψις the eye  face ,,,,ὄψομαι,N,ὄψομαι,,
87,αἰθρηγενέτης,,,,,,,N,,,ετης
88,αἰθρηγενής,verbal stemγενε   γενέσθαι  γίγνομαι   come into being ,,"adj. suf. -ής, -ές",ης,A,γενέσθαι,V,γενέσθαι,V,ης
89,αἰναρέτης,,,,,,,N,,,ετης
90,αἰολοθώρηξ,,,,,,,N,,,
91,αἰολομίτρης,,,,,,,N,,,ης
92,αἰνόμορος,,,,,,,N,,,ρος
93,αἰπόλος,,,,,,,N,,,λος
94,ἄϊστος,verbal root ισ &lt ιδ   εἶδον   see ,,"adj. suf. -τός, -τόν",τος,A,εἶδον,V,εἶδον,V,στος
95,ἀκάκητα,adj  root κάκ   κακός ή όν   bad ,,adj. suf. -ητα,ητα,A,κακός,N,κακός,ος,ητα
96,ἀκαλαρρείτης,verbal root ῥέε   *rew  *ru   ῥέω   flow ,,"nom. suf. -της, -ου",της,A,ῥέε,V,ῥέω,V,της
97,Ἀκάμας,,,,,,,N,,,ας
98,ἀκάμας,verbal root κάμ   κάμνω   work to be hard pressed  worsted  to be sickorsuffering ,,ας,ας,A,κάμνω,V,κάμνω,V,ας
99,ἀκάματος,,,,,,,N,,,τος
100,ἄκανθα,,,,,,,N,,,α
101,ἀκηδέστως,,,,,,,N,,,ως
102,ἀκηδής,,,,,,,N,,,ης
103,ἀκήλητος,,,,,,,N,,,τος
104,ἀκηράσιος,,,,,,,N,,,σιος
105,ἀκήρατος,verbal root κήρα   κηραίνω   harm  destroy ,,"adj. suf. -τος,-ον",τος,A,κηραίνω,V,κηραίνω¹,V,τος
106,ἀκήριος,, κῆρ  heart ,"adj. suf. -ιος, -ιον",ιος,A,κῆρ,N,κῆρ,,ιος
107,ἄκικυς,,,,,,,N,,,υς
108,ἄκλαυτος,,,,,,,N,,,τος
109,ἀκλεής,,,,,,,N,,,ης
110,ἄκληρος,noun root stem κληρ ο    κλῆρος   lot ,,"adj. suf. -ος, -ον",ος,A,κλῆρος,N,κλῆρος,ρος,ρος
111,ἀκοίτης,,,,,,,N,,,της
112,ἄκοιτις,, κοῖτ ος κοίτ η κεῖμαι   bedstead marriage bed ,"noun suf. -ις, ιος",ις,A,κεῖμαι,N,κεῖμαι,,τις
113,ἀκομιστἰη,,,,,,,N,,,ιη
114,ἀκόρητος,,verbal adj  κόρητος  κορέννυμι   that can be satiate ,,,,κορέννυμι,V,κορέννυμι,V,τος
115,ἄκρητος,verbal root *κηρ  κεράννυμι   mixed ,,"adj. suf. -ος, -ον",ος,A,κεράννυμι,V,κεράννυμι,V,τος
116,ἄκριτος,verbal root κρι   κρίνω   distinguish ,,"verb. adj. suf. -τος, -τον",τος,A,κρίνω,V,κρίνω,V,ιτος
117,ἀκριτόμυθος,,μῦθ ος  ὁ   word  speech ,,,,μῦθ,N,μῦ,,ος
118,ἀκρόκομος,,,,,,,N,,,μος
119,ἀκρόπολις,,πόλις  ἡ  city ,,,,πόλις,N,πόλις,ις,ις
120,ἀκροπόλος,, πόλος ὁ   πέλω πέλομαι πολέω   piuoton which anything turns axis ,"adj. suf. -ος, -ον",ος,A,πέλομαι,N,πέλομαι,,λος
121,Ἀκρόνεως,noun root νε   ναῦς  νηός νεός   ship ,,noun suf. -ως,ως,A,ναῦς,N,ναῦς,υς,ως
122,ἀκροπόρος,,,,,,,N,,,ρος
123,ἀκτήμων,,,,,,,N,,,μων
124,ἀλαοσκοπιή,,,,,,,N,,,ιη
125,ἄλαστος,verbal rootλας &lt  λαθ   λαθεῖν   escape notice  go unseen  forget ,,"adj. suf. -τος, -τον",τος,A,λαθεῖν,V,λαθεῖν,V,στος
126,Ἀλέξανδρος,verbal root ἀλέξ   ἀλέξω   protect  defend ,root stemἀνδρ   ἀνήρ  ἀνδρός   man ,"adj. suf. -ος, -ον",ος,A,ἀνδρός,N,ἀνδρός,ρος,ρος
127,ἀλήθεια,verbal rootληθ  λήθω   λανθάνω   escape notice ,,f. noun. suf.-εια(ion. -είη),εια,A,λανθάνω,V,λανθάνω,V,εια
128,ἀληθής,verbal rootληθ  λήθω   λανθάνω   escape notice ,,"adj. suf. -ης,-ες",ης,A,λανθάνω,V,λανθάνω,V,ης
129,ἀλίαστος,, verbal base *λιασ  &lt aor  ἐλιάσθην  λιάζομαι  bend  incline  ,"verb. adj. suf. -τος, -τον",τος,A,ἐλιάσθην,V,ἐπλάσθην,V,στος
130,ἁλίζωνος,verbal root ζών   &gt ζώννυμι  gird ,,"adj. suf. -ος,ον",ος,A,ζώννυμι,V,ζώννυμι,V,νος
131,Ἁλιθέρσης,noun root ἁλ   ἁλς  ἁλός   sea ,noun root θέρσ   θάρσος   bravery ,n. suf. -ης,ης,A,θάρσος,N,θάρσος,ος,ης
132,ἁλιμυρήεις,,,,,,,N,,,εις
133,ἁλιοτρεφής,,,,,,,N,,,ης
134,ἁλίπλοος,noun root ἁλ ,,,,,ἁλ,N,ἁλῶ,,ος
135,ἁλιπόρφυρος,,,,,,,N,,,ρος
136,Ἀλκάθοος,nounroot ἀλκ   ἀλκή   strength ,adj  root stem θο ο    θοός &lt  θέω   quick  nimble ,"noun suf. -ος, -ου",ος,A,θοός,N,θοός,ος,ος
137,Ἄλκανδρος,,,,,,,N,,,ρος
138,Ἀλκιμέδων,noun verbal root ἀλκ   ἀλκή  ἀλέξω   defence  defend ,verbal root μέδ   μέδω   protect  rule over ,"m. noun suf. -ων, -οντος",ων,A,μέδω,V,μέδω,V,ων
139,ἄλληκτος,,,,,,,N,,,τος
140,ἀλλήλων,,,,,,,N,,,ων
141,ἀλλοδαπός,adj  stem ἄλλο   ἄλλος  η  ο   another ,noun root δάπ   δάπεδον   ground  soil  floor of a chamber  from *dm̥ pedo   house  ,"adj. suf. -ός, -ή, -όν",ος,A,δάπεδον,N,δάπεδον,ον,ος
142,ἀλλοειδής,,,,,,,N,,,ιδης
143,ἀλλόθροος,,,,,,,N,,,ος
144,ἀλλοπρόσαλλος,,,,,,,N,,,λος
145,Ἀλκίνοος,,,,,,,N,,,ος
146,ἄλοχος,verbal rootλοχ   λέχομαι  lie down ,,"nounsuf. -ος, -ου",ος,A,λέχομαι,V,ὀλέομαι,V,ος
147,Ἀλύβας,,,,,,,N,,,ας
148,ἄλυτος,,verbal adj  λυτ ός   ή   όν  λύω   that may be untied ,,,,λυτ,V,λυτῶς,V,τος
149,ἀλφηστής,,,,,,,N,,,της
150,ἄμαξα,noun root ἄξ   ἄξων   axle ,f  noun ending A,,,,,N,,,α
151,ἀμαξιτός,,,,,,,N,,,ιτος
152,ἁμαρτοεπής,,,,,,,N,,,ης
153,ἁματροχιά,verb root τροχ   τρέχω   run ,,"noun suf. -ιά, -ιᾶς",ια,A,τρέχω,V,τρέχω,V,ια
154,ἀμβροσίη,,*μ &lt,,,,μ,N,μ,,σιη
155,ἀμβρόσιος,,,,,,,N,,,σιος
156,ἄμβροτος,, *μ β ρο   βροτός   mortal man ,"adj. suf. -τος, -ον",τος,A,βροτός,N,βροτός,τος,τος
157,ἀμέγαρτος,verbal root μεγαρ   μεγαίρω   regard as too great ,,"adj. suf. -τος, -τον",τος,A,μεγαίρω,V,μεγαίρω,V,τος
158,ἀμείλικτος,,,,,,,N,,,τος
159,ἀμείλιχος,, μειλίχ ιος  A  ον   also ος  ον   gentle  soothing ,"adj. suf. -ος, -ον",ος,A,μειλίχ,N,μειλίχη,,ος
160,ἀμενηνός,,,,,,,N,,,νος
161,ἀμέτρητος,,μετρητός  ή  όν   measurable ,,,,μετρητός,N,μετρητός,τος,τος
162,ἀμηχανίη,,,,,,,N,,,ιη
163,ἀμήχανος,noun rootμηχαν   μηχανή   any artificial means or contrivance ,,"adj. suf. -ος, -ον",ος,A,μηχανή,N,μηχανή,η,νος
164,ἀμιτροχίτωνες,,,,,,,N,,,ες
165,ἀμμορίη,verbal root  μ μορ   μείρομαι,,,,,μείρομαι,V,μείρομαι,V,ιη
166,ἄμμορος,,,,,,,N,,,ρος
167,Ἀμοπάων,,ὀπάων   ονος  ὀπάζω   comrade in war  esquire   denoting the slight subordination in which one hero stood to another,,,,ὀπάων,N,ὀπάων,ων,ων
168,ἄμπυξ,,,,,,,N,,,
169,ἀμύμων,noun root μῦμ  Aeol  for μῶμ ος  blame  reproach  disgrace ,,"adj. suf. -ων, -ον",ων,A,μῦμ,N,μῦμα,,μων
170,ἀμφασίη,verbal root φα   φημί   say  affirm  assert ,,f. noun suf. -σία,σια,A,φημί,V,φημί,V,σιη
171,ἀμφήκης,,,,,,,N,,,ης
172,ἀμφηρεφής,,,,,,,N,,,ης
173,ἀμφήριστος,,,,,,,N,,,στος
174,ἀμφίαλος,noun root A   ἅλς  ἁλός  sea  ,,"adj. suf. -ος, -ον",ος,A,ἁλός,N,ἁλός,λος,λος
175,ἀμφίβασις,,,,,,,N,,,σις
176,ἀμφίβροτος,, βροτός mortal man ,"adj. suf. -ος, -η, -ον",ος,A,βροτός,N,βροτός,τος,τος
177,Ἀμφιγυήεις,noun verbal root γυς  &lt  ie *gū s zero grade of *gēu    bend  curve , affix  η ,adj. suf. -εις (cf. Melazzo 1988),εις,A,η,N,ὄη,η,εις
178,ἀμφίγυος,noun verbal root γυς  &lt  ie *gū s zero grade of *gēu    bend  curve , ἀμφί  on both sides ,"adj suf. -ος, -ον (Cf. Melazzo 1988)",ος,A,ἀμφί,N,ἀμφί,,ος
179,Ἀμφιδάμας,,,,,,,N,,,ας
180,ἀμφίδρυφος,,,,,,,N,,,ος
181,ἀμφιέλισσα,verbal rootἑλίσσ  ἑλίσσω   turn round or about ,,σα,σα,A,ἑλίσσω,V,ἑλίσσω,V,σα
182,ἀμφιθαλής,,,,,,,N,,,ης
183,ἀμφίθετος,,,,,,,N,,,ετος
184,ἀμφίκομος,noun root κόμ   κόμη   hair of the head  but metaph   foliage of trees ,,"adj. suf. -ος, -ον",ος,A,κόμη,N,κόμη,η,μος
185,ἀμφικύπελλος,, κύπελλον   ου big bellied drinking vessel  beaker  goblet ,"adj. suf. -ος, -ον",ος,A,κύπελλον,N,κύπελλον,ον,λος
186,Ἀμφίλοχος,,,,,,,N,,,ος
187,ἀμφιλύκη,,,,,,,N,,,η
188,Ἀμφίμαχος,,,,,,,N,,,ος
189,Ἀμφιμέδων,,,,,,,N,,,ων
190,Ἀμφίνομος,,,,,,,N,,,μος
191,ἀμφίπολος,verbal root πολ   *kwel   πέλομαι  *kwol   θεοπόλος  βουκόλος   moving around &gt  being into  working with  in ,,"noun. suf. -ος, -ου",ος,A,θεοπόλος,V,θεσμοπόλος,V,λος
192,ἀμφίρυτος,verbal root ρυ   *rew  *ru   ῥέω   flow ,,"adj. suf. -τος, -τη, -τον",τος,A,ῥέω,V,ῥέω,V,τος
193,ἀμφιστρεφής,,,,,,,N,,,ης
194,Ἀμφιτρίτη,,,,,,,N,,,η
195,Ἀμφιτρυων,,,,,,,N,,,ων
196,ἀμφίφαλος,,,,,,,N,,,λος
197,ἀμφιφορεύς,,,,,,,N,,,ευς
198,ἄμφωτος,,,,,,,N,,,ωτος
199,ἀμώμητος,,μωμητός    ή    όν  to be blamed ,,,,μωμητός,N,μωμητός,τος,τος
200,Ἀναβησίνεως,noun stem ἀνάβησι   ἀνάβησις   ἀνάβασις  ἀναβαίνω   going up  mounting ,noun root νε   ναῦς  νηός νεός   ship ,noun suf. -ως,ως,A,ναῦς,N,ναῦς,υς,ως
201,ἀνάεδνος,,,,,,,N,,,νος
202,ἀναδέσμη,,,,,,,N,,,η
203,ἀναιδεία,,,,,,,N,,,εια
204,ἀναιδής,verbal noun root A   A  A   be ashamed  shame ,,"adj. suf.-ής, -ές",ης,A,,V,,V,ιδης
205,ἀναίμων,,,,,,,N,,,μων
206,ἀναίτιος,,A   A   ον  culpable  responsible ,,,,ον,N,ᾦον,ον,ιος
207,ἄναλκις,noun root ἀλκ  ἀλκή   ῆς   strength ,,"adj. suf. -ις, -ιδος",ις,A,ἀλκή,N,ἀλκή,η,ις
208,ἄναλτος,,,,,,,N,,,τος
209,ἀνάποινος,,,,,,,N,,,νος
210,ἀνάρσιος,,ἄρσιος   ον ἀραρίσκω   fitting  meet  right ,,,,ἀραρίσκω,N,ἀραρίσκω,,σιος
211,ἄναυδος,,,,,,,N,,,ος
212,ἀνδράγρια,,,,,,,N,,,ια
213,Ἀνδραιμονίδης,,,,,,,N,,,ιδης
214,Ἀνδραίμων,noun root ἀνδρ   ἀνήρ  ἀνδρός   man ,noun root A   A   A   blood ,"noun suf. -ων, -ονος",ων,A,,N,,,μων
215,ἀνδράποδον,,,,,,,N,,,ον
216,ἀνδραχθής,,,,,,,N,,,ης
217,ἀνδρειφόντης,noun root ἀνδρ   ἀνήρ  ἀνδρός   man ,φόντης    φον εύς   έως   slayer ,,,,φόντης,N,Λεωφόντης,της,της
218,ἀνδρόκμητος,,,,,,,N,,,τος
219,ἀνδροκτασία,, κτα &lt  verb  adj  *κτατος  κτείνω  kill  slay   cf  Chantraine ,suf. σία,σια,A,κτατος,V,ὠκύτατος,V,σια
220,Ἀνδρομάχη,noun root stem ἀνδρ ο    ἀνήρ  ἀνδρός   man ,μάχ η   ης  μάχομαι   battle  combat ,,,,μάχομαι,N,μάχομαι,,η
221,ἀνδρόμεος,,  μεο  cognate with Skt   máya  ,"adj. suf. -ος, -ον",ος,A,μεο,N,ἐμεῖο,,εος
222,ἀνδροφάγος,,,,,,,N,,,ος
223,ἀνδροφόνος,noun stem ἀνδρο  ἀνήρ   man ,verbalroot φον   θείνω   murder ,"adj. suf. -ος, -ον",ος,A,θείνω,V,θείνω,V,νος
224,ἀνείμων,,,,,,,N,,,μων
225,ἀνεμοσκεπής,,,,,,,N,,,ης
226,ἀνεμοτρεφής,,,,,,,N,,,ης
227,ἀνήνυστος,,,,,,,N,,,στος
228,ἀνέστιος,,,,,,,N,,,ιος
229,ἀνήνωρ,,,,,,,N,,,ωρ
230,ἀνίδρωτος,,,,,,,N,,,ωτος
231,ἀνιπτόπους,,,,,,,N,,,υς
232,ἀνοήμων,verbal root νο ή    νοέω   perceive by the mind  think ,,"adj. suf. -μων, -ον, gen. -ονος",μων,A,νοέω,V,νοέω,V,μων
233,ἀνόλεθρος,,,,,,,N,,,ρος
234,ἄνοος,,,,,,,N,,,ος
235,ἀνόπαια,,,,,,,N,,,ια
236,ἄνοσος,,,,,,,N,,,ος
237,ἄνοστος,noun root νοστ   νόστος   return home ,,"adj. suf. -ος,-ον",ος,A,νόστος,N,νόστος,στος,στος
238,ἀντάξιος,,,,,,,N,,,ιος
239,ἀντήνωρ,,ἀνήρ ὁ ἀνδρός man ,,,,ἀνδρός,N,ἀνδρός,ρος,ωρ
240,Ἀντηνορίδης,,,,,,,N,,,ιδης
