,LEMMA,FIRST,SECOND,SUFFIX,SIMPLE,POS,HEAD,POS_HEAD,HEAD_NORMALIZED,HEAD_SUFFIX,SYSTEM_SUFFIX
1163,πολιοκρόταφος,noun stem πολιο   πολιός   ά   όν   grey  grizzled  grisly ,noun stem κρόταφ   κρόταφος   ου   side of the forehead ,"adj. suf. -ος,-ον",ος,A,κρόταφος,N,κρόταφος,ος,ος
1164,Πολυαιμονίδης,, A A   A   blood  nom  suf   ων,patronymic suf. -ιδης,ιδης,A,ων,N,ῥᾴων,ων,ιδης
1165,πολύαινος,verbal root A   A   tell  speak of  praise  approve ,,"adj. suf. -ος, -ον",ος,A,,V,,V,νος
1166,πολυᾶϊξ,,,,,,,N,,,
1167,πολυανθής,,,,,,,N,,,ης
1168,πολυαρητος,,ᾱ́ρητος ἀράομαι   prayed ,,,,αρητος,N,Ἄρητος,τος,τος
1169,πολυβενθής,,,,,,,N,,,ης
1170,Πόλυβος,, βοῦς  ox ,"noun suf. -ος, -ου",ος,A,βοῦς,N,βοῦς,υς,ος
1171,πολύβουλος,,,,,,,N,,,λος
1172,πολυβούτης,,,,,,,N,,,της
1173,πολυγηθής,,,,,,,N,,,ης
1174,πολυδαίδαλος,,δαίδαλος  ον cunningly or curiously wrought   cf  δαιδάλλω  work cunningly  embellish  ,,,,δαίδαλος,N,δαίδαλος,λος,λος
1175,πολύδακρυς,, δάκρυ  τό  tear ,adj. suf. -ς,ς,A,δάκρυ,N,δάκρυ,,υς
1176,πολυδάκρυτος,root adj πολυ   πολύς  πολλή  πολύ   much ,root noun δάκρυ  a tear ,"adj. suf. -τος, -τον",τος,A,δάκρυ,N,δάκρυ,,τος
1177,πολυδειράς,,δειράς  ridge of a chain of hills ,,,,δειράς,N,δειράς,ας,ας
1178,πολυδένδρεος,, δένδρον  tree ,"adj. suf. -εος, -εον",εος,A,δένδρον,N,δένδρον,ον,εος
1179,πολύδεσμος,,,,,,,N,,,μος
1180,πολύδωρος,,,,,,,N,,,ρος
1181,πολυηγερής,adj  stem πολυ   πολύς  πολλή  πολύ   much  many ,verbal rootἀγερ   ἀγείρω   gather together ,"adj. suf. -ής, -ές",ης,A,ἀγείρω,V,ἀγείρω,V,ης
1182,πολυήρατος,,  ήρα   ἐράω   love ,"adj. suf. -τος, -ον",τος,A,ἐράω,N,ἐράω,,τος
1183,πολυηχής,,,,,,,N,,,ης
1184,πολυθαρσής,noun root θαρσεσ   θάρσος   εος   courage ,,"adj. suf. -ής, -ές",ης,A,θαρσεσ,N,θαρσήεις,,ης
1185,Πολυθερσεΐδης,,,,,,,N,,,ιδης
1186,Πολύιδος,,,,,,,N,,,ος
1187,πολυϊδρεία,,,,,,,N,,,εια
1188,πολύιδρις,,ἴδρις   gen ἴδριος   experienced  knowing  skilful ,,,,ἴδριος,N,ἴδρις,ιος,ις
1189,πολύϊππος,,,,,,,N,,,ος
1190,πολυκαγκής,adj  stem πολυ   πολύς  πολλή  πολύ   much  many ,adjectival root κάγκ   κάγκανος   dry ,"adj. suf. ής, -ές",ης,A,κάγκανος,N,κάγκανος,νος,ης
1191,πολύκαρπος,,,,,,,N,,,ος
1192,Πολυκάστη,,,,,,,N,,,στη
1193,πολυκέρδεια,,,,,,,N,,,εια
1194,πολυκερδής,,,,,,,N,,,ης
1195,πολυκηδής,,,,,,,N,,,ης
1196,πολύκληρος,,,,,,,N,,,ρος
1197,πολύκλητος,,,,,,,N,,,τος
1198,πολυκλήϊς,,κλήϊς  κλείς   bar  bolt  rowing bench in a ship ,,,,κλήϊς,N,εὐκλήϊς,ις,ις
1199,πολύκμητος,verbal root κμη   κάμνω   work ,,"adj. suf. -τος, -τον",τος,A,κάμνω,V,κάμνω,V,τος
1200,πολυκτήμων,,,,,,,N,,,μων
1201,Πολυκτορίδης,,,,,,,N,,,ιδης
